DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1995-Q1,71.509,e,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1995-Q2,72.300,e,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1995-Q3,73.318,e,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1995-Q4,74.618,e,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1996-Q1,73.854,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1996-Q2,74.582,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1996-Q3,74.960,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1996-Q4,75.765,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1997-Q1,74.029,,
ESTAT:NAMQ_10_GDP(1.0),12/06/26 11:00:00,Quarterly,"Price index (implicit deflator), 2015=100, national currency",Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Gross domestic product at market prices,Euro area - 19 countries  (2015-2022),1997-Q2,74.257,,
