"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","726000000","873000000","1068000000","1245000000","1369000000","1561000000","1716000000","1939000000","2230000000","2364000000","2470000000","2742000000","2981000000","3084000000","3353480000","3394658000","3511700000","3658960000","4036147000","4224431000","4420911000","4792978000","5089014000","4571290000","4391939000","4721768000","4681223000","4882850000","4995621000","5303603000","5340711000","5535446000","5864376000","5990455512.71318","4423840335.27803","5156816010.07195","5950021653.4458","6864166012.85528","7635514704.67422","",
"Africa Eastern and Southern","AFE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167043599900","133474620100","182162721300","221358563000","249791940700","308163225800","348048404600","485419056200","515046858600","611692107000","726231122700","850347275400","1028794220100","1138809791300","1176469485800","1222756495400","1222916881100","1285460326500","1327690394700","1469596303300","1534966000000","1251172000000","1283441000000","1350910000000","","",
"Africa Western and Central","AFW","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","177.42880075","166.05935147","166.05935147","173.05593188","183.441471","226.00252894","211.5961353","241.86945061","262.37597645","305.21688326","335.9646477","700","3800","29400","678100","15015300","835493000","1751785000","2555800000","17171000000","91666100000","197110800000","753573719667.664","1517650932902.59","2255447871725.2","3608095308860.73","4713881568312.93","5602449613116.55","7412577530307.43","6481521799561","8781308453843.74","11793661418056","13706611875100","14840760473745.5","16165667821145.9","15807317332586.6","18781815985150","23200798623986.4","28873391111132.3","34538508018021.2","38466148275131.2","53277982458701.4","65586149318801.3","78322351898136.3","101910674907423","",
"Albania","ALB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","14991970000","15514160000","15968780000","16142520000","15935960000","16276690000","16778610000","16646370000","16409890000","18024720000","16228430000","15833650000","48934320000","120976260000","177981840000","269294839700","338000308300","336480806600","393069964000","453512322600","516206780300","583125139000","633932624600","700711634600","760444767600","824594556600","897697711100","1005281279300","1112317142000","1171606460700","1256235269500","1308997906100","1324877373900","1352246838700","1402496106600","1444801964100","1488303314600","1579055793200","1660820293400","1712037493200","1655984492600","1866671560600","2149741304200","2364276124300","2517819719300","",
"Andorra","AND","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","33075100","37328600","43809600","52817200","64679900","75943900","91389700","115960200","141930500","166030700","192360700","215833200","248204100","282616900","318914300","354366200","405699900","453657900","505070300","565962200","630395100","691276900","744521400","770274000","819228800","883347000","931789600","1038925600","1088194100","1163747900","1551090000","1728690000","1865830000","2092490000","2331570000","2540880000","2755130000","2887770000","2789260000","2644840000","2602310000","2607220000","2481850000","2404540000","2462690000","2514510000","2616860000","2655760000","2725270000","2818420000","2531090000","2810970000","3210310000","3500580000","3732370000","",
"Arab World","ARB","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","3266600073","4462580035","6206540140","16909196156","46129476175","58313000000","75951000000","97082000000","92041000000","119147000000","161638000000","181103000000","171152000000","157131000000","153477000000","149056000000","124607000000","133569000000","133168000000","152218000000","186125000000","189248000000","199112000000","204200000000","217709000000","241345000000","270080000000","289418000000","277914000000","310126000000","383179000000","379412000000","403300000000","456662000000","542885000000","663317651100","815723000000","947197000000","1158580526300","931152675000","1130162000000","1354716000000","1442534000000","1504376000000","1560577000000","1402796000000","1401856000000","1481358000000","1617957000000","1593594000000","1311677000000","1551416000000","1878129000000","1919330000000","2028413000000","",
"Argentina","ARG","GDP (current LCU)","NY.GDP.MKTP.CN","0.1315089166","0.1668071896","0.2131359279","0.2534708977","0.359472096","0.4818600118","0.6012399793","0.8004699945","0.9252899885","1.0939699411","1.2001999617","1.664659977","2.7786400318","4.7289600372","6.5193099976","19.402299881","102.33899689","283.90499878","708.61102295","1932.1400146","3840.3999023","7474.2998047","21852.5","109490","790920","5305000","9984100","23332300","111062000","3244039936","68921999360","180898005000","226638004200","236504973300","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","312580000000","375909500000","485115194700","582538172900","715904271700","896980174100","1149646090600","1247929268900","1661720925900","2179024103600","2637913848200","3348308488200","4579086425400","5954510895700","8228159556500","10660228494800","14744810677300","21558444149200","27209814143300","46219083510300","82810045469900","192408248028800","583909615483500","",
"Armenia","ARM","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50310000","79690000","310190000","4218410000","187065008100","522255990800","661209022500","804334993400","955384987600","987443691500","1031338300000","1175876800000","1362471700000","1624642700000","1907945400000","2242880900000","2656189800000","3149283400000","3568227600000","3141651000000","3460202700000","3777945600000","4266460500000","4555638200000","4828626300000","5043633200000","5067293500000","5564493300000","6017035200000","6543321800000","6181902600000","6991777800000","8501449400000","9492514300000","10193415300000","",
"American Samoa","ASM","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512000000","524000000","509000000","500000000","493000000","518000000","560000000","675000000","573000000","570000000","640000000","638000000","643000000","673000000","671000000","612000000","639000000","647000000","721000000","750000000","871000000","","","",
"Antigua and Barbuda","ATG","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","209270000","237710000","295910000","357620000","403350000","449400000","499140000","572980000","665200000","803420000","936540000","1110770000","1228970000","1292540000","1361710000","1417860000","1527290000","1687720000","1663340000","1833680000","1982940000","2132430000","2255970000","2432710000","2369990000","2424850000","2559870000","2771090000","3088520000","3519920000","4015930000","4205630000","3743600000","3505540000","3475870000","3684770000","3578840000","3722510000","3881210000","4021930000","4144110000","4486130000","4661410000","3811420000","4325740000","5039730000","5415620000","5960581760","",
"Australia","AUS","GDP (current LCU)","NY.GDP.MKTP.CN","16639000000","17601000000","17816000000","19262000000","21282000000","23227000000","24419000000","27221000000","29253000000","32802000000","36960000000","40432000000","44613000000","49892000000","60445000000","71356000000","83467000000","96338000000","105208000000","118923000000","134805000000","152581000000","176115000000","189688000000","213941000000","235787000000","261198000000","286715000000","324994000000","368757000000","405241000000","415894000000","423875000000","444848000000","467286000000","496599000000","529787000000","557533000000","590253000000","622917000000","663843000000","708764000000","757685000000","804444000000","865471000000","926930000000","1001309000000","1091056000000","1182238000000","1265515000000","1308555000000","1422950000000","1505777000000","1543718000000","1606317000000","1630787000000","1664441000000","1764693000000","1848929000000","1955185000000","1989006000000","2091023000000","2336902000000","2577013000000","2680025000000","",
"Austria","AUT","GDP (current LCU)","NY.GDP.MKTP.CN","12516169382.1121","13881290273.0381","14724904792.2933","15898295671.8664","17409131124.4903","18973652297.2543","20670165912.674","21983445858.1051","23618414169.7179","25786819698.9498","28933520000","32300425000","36912792000","41833061000","47613915000","50504342000","55787549000","61669112000","65227258000","71548735000","76849596000","81892991000","88013880000","93778015000","98470279000","103921308000","109450238000","113639106000","119176806000","127479947000","137009937000","146886762000","155179186000","160297645000","168292833000","175916998000","181541916000","187778736000","195274450000","203064920000","212406815000","219373302000","225087921000","230541872000","240541727000","252354933000","265933651000","282208227000","291846203000","286274126000","294050606000","308167045000","316589410000","321191709000","330113483000","342083540000","355665600000","367294903000","383234317000","395706770000","380317879000","406231494000","449382186000","477837326000","494087556000","",
"Azerbaijan","AZE","GDP (current LCU)","NY.GDP.MKTP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293200","534400","4820100","31400000","374700000","2133800000","2732600000","3158300000","3440600000","3775100000","4718100000","5315600000","6062500000","7146500000","8530200000","12522500000","18746200000","28360500000","40137200000","35601500000","42465000000","52082000000","54743700000","58182000000","59014100000","54380000000","60425200000","70337800000","80092000000","81896200000","72578100000","93203200000","133972700000","123128400000","126337000000","",
"Burundi","BDI","GDP (current LCU)","NY.GDP.MKTP.CN","9799999500","10149999600","10675000300","11637499900","13037500400","13415200000","14476400000","15601000000","16030000000","16643000000","21239100000","22123700000","21595400000","24355100000","27189500000","33152700000","38675600000","49278200000","54920300000","70424700000","82775400000","87214200000","91190000000","100658000000","118171000000","138791000000","137201000000","139804000000","151964000000","176743000000","193878000000","211898000000","225599995900","227899998200","233721004000","249864994800","263100000000","342800000000","400200000000","455400000000","627333193100","728046498300","768235261400","849482572100","1007615939900","1208244000000","1309900000000","1467231000000","1911139000000","2184177000000","2501047000000","2819524000000","3357291000000","3812499000000","4185066000000","4417872000000","4848223000000","5702118000000","5914340000000","6196213000000","7200275148426.31","8184634496218.8","9634615107727.2","11837498887091.2","14702752937141.2","",
"Belgium","BEL","GDP (current LCU)","NY.GDP.MKTP.CN","14638880289.2954","15569822512.8961","16654512199.8523","17905108027.3245","20039767588.5449","21811882595.9277","23419605981.0656","25102329140.8561","26840494042.7778","29771582746.2852","33102330000","36266123000","40599196000","46130061000","54105540000","59878805000","68055986000","73603256000","79043163000","84538074000","91938570000","96393509000","104307846000","110506023000","119389867000","126978258000","132908805000","138264521000","147935633000","160411128000","170096820000","178197561000","187120977000","192721412000","203106897000","210489100000","214287100000","224101500000","232623800000","242307600000","256376400000","264334900000","273255900000","281200200000","296819700000","310037600000","325151500000","343618900000","351743100000","347734900000","363242400000","378745400000","387934900000","394616300000","404958300000","415538000000","428467100000","443407200000","459491800000","479444900000","463750900000","506047200000","561309100000","602376300000","620271800000","",
"Benin","BEN","GDP (current LCU)","NY.GDP.MKTP.CN","55462047700","57800011800","57929838600","62216437800","66112991200","71045292000","74422198300","75330887700","80786079700","85981503500","92215746600","92264521700","103414964200","112419971100","133508014100","145062002700","166884999200","184271994900","209598971900","252337012700","296900984800","350837964800","416599998500","417399996400","459300012000","469800026100","462700019700","469561999400","482587410400","479244386300","533629545100","560387826700","594416368900","644069732800","887259268600","1082965970900","1207834857200","1323938197500","1448386288100","2263338000000","2499926000000","2685133000000","2909671000000","3102021000000","3264365000000","3462851000000","3674800000000","3909982000000","4365330000000","4580012000000","4718034000000","5039213000000","5688291000000","6182559000000","6559333000000","6732814000000","7005230000000","7375302197900","7922004056100","8432247506700","9008810371200","9809693955700","10854500000000","11934900000000","13025900000000","",
