"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","-7318435.75418994","-14413407.821229","-17039106.1452514","-11284916.2011173","-7765363.12849162","-7765363.12849162","-9664804.46927374","-17877094.972067","-20000000","-15195530.726257","-17821229.0502793","-23184357.5418994","-5586592.17877095","-42681564.2458101","-24041452.5139665","-57249497.2067039","-135704581.005587","-53308268.1564246","-74323407.8212291","-478953687.150838","-105839106.145251","-384627597.765363","-116630949.72067","-88749888.2681564","-140212011.173184","-246017821.22905","-116090502.793296","-164312894.893467","-102774135.757908","-124776522.371015","-135242768.555087","-170593344.43327","-214627461.998445","-153404762.57359","-68155396.2116257","-104679473.970764","-124673714.486487","-315600539.695303","-226323532.879546","",
"Africa Eastern and Southern","AFE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","11111037.7777778","11111128.8888889","11111128.8888889","15555515.5555556","15555515.5555556","20000000","28888888.8888889","35555555.5555556","28888888.8888889","28888888.8888889","35557777.7777778","37777777.7777778","35553333.3333333","37775555.5555556","46666666.6666667","51111111.1111111","55555555.5555556","64444444.4444444","71111111.1111111","77803203.6613272","74829931.9727891","72727272.7272727","","","","","","","","","","","","","","","","","","","","","","","","","","","-2101054.68453511","-37811801.5379949","29106508.4686418","-23586775.0840476","53931817.4381565","62936900.2067644","62543769.2122008","115277794.013026","233903480.222699","208313289.638984","241291270.13968","281217520.635116","149227717.041072","86093666.5147025","43053514.0630295","82333082.7831386","","",
"Africa Western and Central","AFW","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-869126577.311318","-387597275.887426","-1399473581.45598","-2084897936.02514","-174372727.455044","-1202107350.09025","0","-4809785300.49859","-2531173246.21824","-2495041987.65569","-767257294.938499","-1696763296.339","-917756287.111422","-968766165.000102","-1372030088.44357","-1680860031.08995","-1560989977.17911","-1634656120.51879","-1726480965.72969","-2488563709.45253","-4030888661.11142","-6177867509.37611","-7599027319.10272","-13717547716.1797","-6823141243.13499","-8086861899.34642","-9697326689.00487","-10421753720.3976","-9583541555.15968","-8258011836.32853","-4601035933.4069","-2751560062.70987","-4528926520.83828","-6137575025.31819","-6409804982.70613","-4356523022.63772","-5453841731.87771","-8012748014.31252","-8063300353.69125","-6589711958.91354","",
"Albania","ALB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","3200000","1400000","100000","400000","200000","-100000","-1900000","-21700000","-35100000.6663779","33900000.4898959","13800000.0486138","43600000","71681048.139475","50331448.534424","76519893.4903414","75270751.6292542","104652008.221765","125994611.582904","109116191.781251","150573891.321753","169293247.531426","162029179.379077","262218158.912104","297974727.79804","64711705.4155235","-192841783.981405","-119534255.413443","3948823.13920734","-91731433.3066871","220063720.195693","121231952.976868","135117182.912481","192613372.535594","31837954.2517739","-17385307.7318394","-201812354.031034","-249829714.680166","-249981439.335394","-330873775.065614","-298134836.305827","-208703924.832629","",
"Andorra","AND","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","307203708.596223","377594556.747755","251912846.217714","145472945.081422","132856602.223087","61954561.6902445","",
"Arab World","ARB","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5091899251.19129","5064669843.43091","921170864.533696","-54458815.5207624","707964601.769912","2886317222.60041","4737916950.30633","8373042886.31722","3803948264.12526","2614111640.57182","-83866575.9019741","135330156.569095","299523485.364193","462899931.926481","658951667.801225","1742682096.6644","2096664397.54935","2777399591.55888","1424098025.86794","2061541184.47924","-1878829135.4663","-735194009.530293","54458815.5207624","14622191967.3247","16010891763.1042","",
"Argentina","ARG","Net primary income (Net income from abroad) (current US$)","NY.GSR.NFCY.CD","410611569.551244","520915827.69687","474595267.936942","472828283.29687","662611831.457015","733528054.8065","1165716399.63184","87575485.6208264","-392285420.713972","-219712940.743224","-1187892368.7027","341401095.441806","-533500315.881762","178220536.772338","243112774.184023","709461515.870546","15502930.1384528","-441796877.685007","-561738201.483172","-626163812.538299","-675349739.131059","-1834734840.24455","-5063657543.67694","-5906932543.23323","-6053589761.14794","-4729906000.07644","-4783508507.13744","-5056665778.00509","-5520642665.87325","-6416835152.03013","-6202354195.84937","-5862619611.95595","-4257856622.27121","-2998052152.15215","-3696736900","-4668859300","-5502049300","-6217795600","-7406048600","-7463719900","-7547781100","-7726781900","-4960215219.15838","-5135021620.33737","-18296342135.6323","-22583727006.0044","-7659784206.08108","-7536296704.70573","-8942556247.44473","-10232156785.3141","-14434953219.8032","-15153583065.297","-12908767215.1506","-11839391690.7098","-10787432518.7927","-11133833326.6745","-12280679535.2406","-16427929347.5396","-18725847300.4726","-17587891544.6599","-10396451095.0349","-9761814472.40406","-11670891502.9878","-13951033943.5781","-13170458503.5926","",
